Longitude,Latitude,Altitude,Slope,Curve,Speed,EC_DP,Red,IR,Moisture,Soil_Temp_C
-111.71087,33.08222,387.7,0.8207,-0.008,4.96,241.56,386.49,1249.47,26.49,19.05
-111.710895,33.08222,387.8,0.8299,0.0058,5.03,241.63,387.74,1248.87,26.48,19.02
-111.71092,33.08222,387.8,0.8307,0.0186,5.09,249.1,387.87,1249.54,26.52,19.01
-111.710945,33.08222,387.8,0.8242,0.0302,5.14,270.95,387.22,1251.95,26.6,19.01
-111.7109717,33.08222,387.9,0.8073,0.0403,5.14,289.39,385.83,1254.53,26.68,19.03
-111.7109967,33.08222,387.9,0.7894,0.0484,5.1,282.1,384.18,1255.92,26.75,19.03
-111.71102,33.08222,387.9,0.7687,0.0522,5.02,265.27,382.73,1257.02,26.78,19
-111.711045,33.08222,387.9,0.7462,0.0538,4.92,264.78,381.89,1258.58,26.79,18.96
-111.7110684,33.08222,387.8,0.7265,0.0537,4.82,289.81,382.08,1260.07,26.8,18.95
-111.7110917,33.08222,387.7,0.7088,0.0515,4.74,334.11,383.14,1261.17,26.8,18.96
-111.711115,33.0822183,387.7,0.692,0.0479,4.69,380.35,384.71,1261.25,26.81,18.96
-111.7111367,33.0822183,387.6,0.6817,0.043,4.66,411.36,386.36,1260.07,26.83,18.97
-111.7111584,33.08222,387.6,0.6756,0.0377,4.62,422.19,387.46,1258.22,26.88,18.97
-111.71118,33.08222,387.7,0.6733,0.0327,4.59,417.61,387.21,1256.81,26.97,18.97
-111.711205,33.0822183,387.7,0.6754,0.0273,4.56,400.07,385.09,1256.08,27.13,18.98
-111.7112284,33.0822183,387.9,0.6809,0.0227,4.57,377.37,382.68,1255.5,27.32,19
-111.7112517,33.08222,387.9,0.6937,0.0184,4.6,351.78,381.31,1252.57,27.53,19.04
-111.711275,33.08222,388,0.7085,0.015,4.66,326.34,381.33,1246.96,27.73,19.09
-111.7112983,33.0822216,388,0.7275,0.0106,4.71,301.35,381.65,1241.34,27.89,19.13
-111.7113217,33.0822216,388,0.7446,0.009,4.75,280.29,380.6,1237.35,27.99,19.12
-111.711345,33.0822216,388,0.7629,0.0075,4.75,267.23,378.84,1234.74,28.01,19.1
-111.7113684,33.0822216,387.9,0.7802,0.0064,4.73,263.45,378.11,1230.71,27.96,19.08
-111.7113916,33.0822216,387.8,0.7965,0.0052,4.72,268.19,378.92,1225.45,27.83,19.09
-111.7114134,33.0822216,387.8,0.8105,0.0046,4.71,278.81,379.96,1222.35,27.67,19.09
-111.711435,33.0822216,387.7,0.8225,0.0041,4.71,291.44,380.06,1222.73,27.5,19.08
-111.7114567,33.0822216,387.7,0.8348,0.0036,4.73,301.24,378.85,1225.65,27.31,19.06
-111.71148,33.0822216,387.7,0.8441,0.0033,4.78,304.19,377.14,1228.85,27.14,19.06
-111.7115034,33.0822233,387.8,0.8524,0.0031,4.83,299.73,377.04,1230.92,27.02,19.07
-111.7115268,33.0822233,387.9,0.8594,0.0029,4.87,293.05,378.93,1232.2,26.96,19.09
-111.7115517,33.0822233,387.9,0.8649,0.0027,4.87,289.28,381.58,1234.3,26.94,19.11
-111.7115767,33.0822216,388,0.8679,0.0026,4.82,290.5,383.65,1238.15,26.96,19.12
-111.7115984,33.0822216,388,0.8701,0.0026,4.75,293.72,385.04,1242.38,26.97,19.13
-111.71164,33.0817633,386.6,1.6504,0.0011,1.65,247.5,380.74,1231.76,27.59,20.96
-111.711635,33.0817633,386.5,1.6503,0.0011,1.71,247.13,380.52,1230.92,27.62,20.94
-111.7116284,33.0817616,386.5,1.654,0.0011,1.78,246.56,380.24,1229.69,27.67,20.91
-111.7116184,33.0817633,386.5,1.6496,0.0011,1.9,245.52,379.81,1227.7,27.74,20.87
-111.7116117,33.0817616,386.4,1.6532,0.0012,2,244.73,379.51,1226.16,27.8,20.84
-111.7116016,33.08176,386.3,1.6563,0.0012,2.16,243.45,379.07,1223.72,27.89,20.77
-111.7115884,33.08176,386.2,1.6552,0.0013,2.4,241.85,378.55,1220.65,28,20.67
-111.7115734,33.0817583,386.2,1.6576,0.0014,2.69,240.36,378.05,1217.98,28.13,20.54
-111.7115584,33.0817566,386.1,1.6596,0.0015,2.98,239.5,377.69,1217.26,28.21,20.39
-111.7115417,33.081755,386.1,1.6607,0.0017,3.25,239.26,377.41,1219.27,28.23,20.24
-111.7115234,33.0817533,386.2,1.6636,0.0019,3.48,239.2,377.04,1223.97,28.15,20.11
-111.711505,33.0817533,386.2,1.6593,0.0021,3.64,238.84,376.56,1229.36,27.98,20
-111.711485,33.0817533,386.2,1.6468,0.0025,3.78,237.57,375.89,1234.16,27.73,19.91
-111.711465,33.0817516,386.3,1.6424,0.0028,3.89,234.87,375.2,1237.53,27.48,19.82
-111.711445,33.0817516,386.3,1.6335,0.0031,3.98,230.89,375.12,1239.31,27.28,19.74
-111.711425,33.0817516,386.3,1.6239,0.0035,4.04,226.98,376.32,1239.64,27.16,19.67
-111.7114034,33.08175,386.2,1.6165,0.0038,4.08,225.47,379.24,1238.42,27.12,19.65
-111.7113833,33.08175,386.2,1.606,0.0042,4.1,228.83,382.26,1236.24,27.15,19.66
-111.7113617,33.08175,386.2,1.597,0.0044,4.12,239.45,384.29,1234.15,27.24,19.64
-111.7113417,33.08175,386.1,1.585,0.0046,4.14,254.27,384.49,1234.34,27.32,19.57
-111.71132,33.0817516,386.1,1.5592,0.0046,4.16,270.06,383.55,1238.02,27.37,19.46
-111.7113,33.0817516,386.2,1.5456,0.0045,4.18,279.66,382.94,1243.36,27.34,19.34
-111.7112784,33.08175,386.2,1.5344,0.0043,4.2,283.36,383.47,1248.66,27.22,19.23
-111.7112567,33.0817516,386.3,1.5148,0.0039,4.22,282.12,384.87,1252.02,27,19.16
-111.7112366,33.0817516,386.4,1.5002,0.0034,4.24,279.3,385.78,1253.56,26.74,19.15
