Longitude,Latitude,Field,Dataset,Product,Obj. Id,Time,Duration(s),Area Count,Elevation(ft),Swth Wdth(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Con(T)(gal(US)/h),Track(deg),Hrv Mass W(lb),Crop Flw(M)(lb/s),Moisture(%),Pass Num,Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld_Mass_Dry_lb_ac,Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-111.7107361,33.08227111,Azule 1,TaskName 6/10/2024,Wheat (Durum),2595,6/10/2024,0.999,On,1293.4,10.97,14.52,3.862,5.638,12.37,89.91,8.713,8.743,7,4,524.58,6150.6,6150.6,102.51,102.51,5.117,6/10/2024
-111.7107176,33.08227112,Azule 1,TaskName 6/10/2024,Wheat (Durum),2596,6/10/2024,1.001,On,1293.3,10.97,14.52,3.879,5.684,12.78,90.16,9.786,8.722,7,4,523.3,6098.2,6098.2,101.64,101.64,5.149,6/10/2024
-111.7106992,33.08227087,Azule 1,TaskName 6/10/2024,Wheat (Durum),2597,6/10/2024,0.999,On,1293.3,10.97,14.52,3.888,5.625,12.34,90.31,9.971,9.847,7,4,590.82,6943.4,6943.4,115.72,115.72,5.105,6/10/2024
-111.7106808,33.08227061,Azule 1,TaskName 6/10/2024,Wheat (Durum),2598,6/10/2024,1,On,1293.4,10.97,14.52,3.793,5.645,12.74,90.54,9.132,9.96,6.84,4,597.62,7005.9,7005.9,116.77,116.77,5.118,6/10/2024
-111.7106622,33.08227078,Azule 1,TaskName 6/10/2024,Wheat (Durum),2599,6/10/2024,1.001,On,1293.4,10.97,14.52,3.884,5.701,12.01,90.05,9.116,9.127,6.72,4,547.63,6363.4,6363.4,106.06,106.06,5.164,6/10/2024
-111.7106432,33.08227084,Azule 1,TaskName 6/10/2024,Wheat (Durum),2600,6/10/2024,0.995,On,1293.4,10.97,14.52,3.956,5.799,13.49,89.98,9.831,9.143,6.7,4,548.57,6228.5,6228.5,103.81,103.81,5.284,6/10/2024
-111.7106234,33.08227043,Azule 1,TaskName 6/10/2024,Wheat (Durum),2601,6/10/2024,1.004,On,1293.4,10.97,14.52,4.14,6.068,12.54,90.45,9.571,9.83,6.7,4,589.78,6457.4,6457.4,107.62,107.62,5.48,6/10/2024
-111.710604,33.08227041,Azule 1,TaskName 6/10/2024,Wheat (Durum),2602,6/10/2024,0.996,On,1293.4,10.97,14.52,4.066,5.937,12.06,90.33,11.39,9.583,6.7,4,574.99,6383.4,6383.4,106.39,106.39,5.405,6/10/2024
-111.7105846,33.08227002,Azule 1,TaskName 6/10/2024,Wheat (Durum),2603,6/10/2024,1.004,On,1293.4,10.97,14.52,4.006,5.966,12.51,90.73,10.46,11.55,6.78,4,693.05,7717.5,7717.5,128.62,128.62,5.388,6/10/2024
-111.7105653,33.08227049,Azule 1,TaskName 6/10/2024,Wheat (Durum),2604,6/10/2024,1,On,1293.4,10.97,14.52,4.052,5.901,12.56,89.79,10.53,10.33,6.8,4,620.05,6953.6,6953.6,115.89,115.89,5.35,6/10/2024
-111.710546,33.0822705,Azule 1,TaskName 6/10/2024,Wheat (Durum),2605,6/10/2024,1,On,1293.4,11.47,14.27,4.043,5.924,12.59,89.91,8.795,10.53,6.8,4,632.04,6753.5,6753.5,112.56,112.56,5.615,6/10/2024
-111.7105268,33.08227031,Azule 1,TaskName 6/10/2024,Wheat (Durum),2606,6/10/2024,0.995,On,1293.3,11.47,14.27,4.007,5.884,12.77,90.2,9.187,8.699,6.8,4,521.95,5586.5,5586.5,93.11,93.11,5.606,6/10/2024
-111.7105077,33.0822705,Azule 1,TaskName 6/10/2024,Wheat (Durum),2607,6/10/2024,1.005,On,1293.4,10.97,14.52,4.009,5.832,12.03,89.89,8.986,9.259,6.8,4,555.56,6335.5,6335.5,105.59,105.59,5.261,6/10/2024
-111.7104885,33.08227,Azule 1,TaskName 6/10/2024,Wheat (Durum),2608,6/10/2024,0.996,On,1293.3,10.97,14.52,4.041,5.897,12.53,90.27,9.148,8.94,6.8,4,536.4,5994.7,5994.7,99.91,99.91,5.369,6/10/2024
-111.7104695,33.08227039,Azule 1,TaskName 6/10/2024,Wheat (Durum),2609,6/10/2024,1,On,1293.4,10.97,14.52,3.925,5.809,12.96,89.72,9.439,9.168,6.8,4,550.05,6266.1,6266.1,104.44,104.44,5.267,6/10/2024
-111.7104503,33.08227041,Azule 1,TaskName 6/10/2024,Wheat (Durum),2610,6/10/2024,0.999,On,1293.4,10.97,14.52,3.982,5.881,12.98,89.64,9.814,9.454,6.8,4,567.21,6375.9,6375.9,106.27,106.27,5.338,6/10/2024
-111.7104302,33.08227112,Azule 1,TaskName 6/10/2024,Wheat (Durum),2611,6/10/2024,1.006,On,1293.3,10.97,14.52,4.165,6.16,14.7,88.9,9.435,9.841,6.8,4,590.44,6380.9,6380.9,106.35,106.35,5.552,6/10/2024
-111.71041,33.08227072,Azule 1,TaskName 6/10/2024,Wheat (Durum),2612,6/10/2024,0.995,On,1293.5,10.97,14.52,4.218,6.186,12.34,89.81,9.34,9.413,6.8,4,564.75,6011,6011,100.18,100.18,5.637,6/10/2024
-111.7103898,33.08227112,Azule 1,TaskName 6/10/2024,Wheat (Durum),2613,6/10/2024,0.999,On,1293.4,10.97,14.52,4.225,6.206,13.49,89.38,8.89,9.335,6.72,4,560.08,5966.2,5966.2,99.44,99.44,5.632,6/10/2024
-111.7103695,33.08227155,Azule 1,TaskName 6/10/2024,Wheat (Durum),2614,6/10/2024,1,On,1293.4,10.97,14.52,4.271,6.203,12.73,89.27,8.484,8.854,6.62,4,531.25,5667.8,5667.8,94.46,94.46,5.624,6/10/2024
-111.7103495,33.08227145,Azule 1,TaskName 6/10/2024,Wheat (Durum),2615,6/10/2024,1,On,1293.4,10.97,14.52,4.188,6.134,13.14,89.85,8.612,8.466,6.68,4,507.98,5480.1,5480.1,91.33,91.33,5.562,6/10/2024
-111.7103304,33.08227114,Azule 1,TaskName 6/10/2024,Wheat (Durum),2616,6/10/2024,1.001,On,1293.3,10.97,14.52,4.063,5.837,11.69,90.24,8.741,8.626,6.779,4,517.58,5873.5,5873.5,97.89,97.89,5.287,6/10/2024
-111.7103129,33.08227121,Azule 1,TaskName 6/10/2024,Wheat (Durum),2617,6/10/2024,1,On,1293.3,10.97,14.52,3.696,5.388,12.23,89.99,9.363,8.791,6.879,4,527.48,6478.7,6478.7,107.98,107.98,4.885,6/10/2024
-111.7102953,33.08227089,Azule 1,TaskName 6/10/2024,Wheat (Durum),2618,6/10/2024,0.999,On,1293.3,10.97,14.52,3.674,5.378,12.15,90.47,8.866,9.363,6.98,4,561.79,6905.9,6905.9,115.1,115.1,4.881,6/10/2024
-111.7102779,33.08227082,Azule 1,TaskName 6/10/2024,Wheat (Durum),2619,6/10/2024,0.995,On,1293.4,10.97,14.52,3.642,5.355,12.31,90.4,8.379,8.814,7.08,4,528.82,6502.3,6502.3,108.37,108.37,4.88,6/10/2024
-111.7102601,33.08227086,Azule 1,TaskName 6/10/2024,Wheat (Durum),2620,6/10/2024,1.005,On,1293.3,10.97,14.52,3.679,5.46,13.18,90.38,8.824,8.359,7.18,4,501.56,6109.3,6109.3,101.82,101.82,4.926,6/10/2024
-111.710242,33.08227082,Azule 1,TaskName 6/10/2024,Wheat (Durum),2621,6/10/2024,1.001,On,1293.4,10.97,14.52,3.786,5.532,11.96,90.48,10.02,8.85,7.121,4,530.99,6358,6358,105.97,105.97,5.011,6/10/2024
-111.7102241,33.08227079,Azule 1,TaskName 6/10/2024,Wheat (Durum),2622,6/10/2024,0.999,On,1293.4,10.97,14.52,3.702,5.473,12.18,90.31,8.922,10.11,6.94,4,606.36,7324.2,7324.2,122.07,122.07,4.967,6/10/2024
-111.7102061,33.08227046,Azule 1,TaskName 6/10/2024,Wheat (Durum),2623,6/10/2024,1,On,1293.4,11.47,14.27,3.793,5.519,12.46,90.66,9.686,8.814,6.82,4,528.86,6065.5,6065.5,101.09,101.09,5.231,6/10/2024
-111.7101877,33.08227061,Azule 1,TaskName 6/10/2024,Wheat (Durum),2624,6/10/2024,1,On,1293.3,10.97,14.52,3.908,5.637,13.05,90.13,9.183,9.788,6.8,4,587.26,6893.9,6893.9,114.9,114.9,5.111,6/10/2024
